respondent_id,age_group,zone,water_reliability,drainage_maintenance,street_condition,public_lighting,waste_collection,daytime_safety,nighttime_safety,police_trust,green_area_maintenance,overall_satisfaction
SYN-0714,45-59,South,5,3,5,4,4.0,3,4,2.0,2.0,3
SYN-0715,18-29,Central,2,3,3,3,3.0,3,3,2.0,1.0,2
SYN-0716,45-59,Central,2,2,1,3,3.0,3,2,2.0,3.0,3
SYN-0717,60+,West,3,2,1,3,4.0,2,1,2.0,1.0,3
SYN-0718,18-29,South,4,2,4,5,4.0,1,1,3.0,4.0,2
SYN-0719,30-44,East,2,4,3,3,3.0,3,2,2.0,2.0,2
SYN-0720,18-29,North,2,2,1,2,1.0,1,1,1.0,2.0,1
SYN-0721,30-44,East,3,3,3,2,3.0,4,2,3.0,3.0,3
SYN-0722,45-59,East,1,3,4,5,3.0,5,3,2.0,5.0,2
SYN-0723,30-44,West,2,1,1,1,3.0,3,1,3.0,3.0,2
SYN-0724,30-44,North,2,1,1,2,3.0,2,1,1.0,2.0,3
SYN-0725,30-44,South,2,3,1,2,2.0,3,1,1.0,3.0,2
SYN-0726,18-29,South,5,4,4,4,4.0,5,2,3.0,2.0,4
SYN-0727,18-29,South,2,4,4,3,4.0,4,3,5.0,2.0,3
SYN-0728,45-59,North,3,3,3,5,2.0,3,2,4.0,1.0,2
SYN-0729,30-44,South,2,2,2,2,5.0,3,1,3.0,4.0,3
SYN-0730,30-44,Central,3,2,2,2,3.0,4,3,4.0,4.0,2
SYN-0731,45-59,East,3,4,3,4,3.0,5,4,1.0,4.0,4
SYN-0732,18-29,Central,2,2,4,3,3.0,3,4,3.0,3.0,2
SYN-0733,18-29,South,3,2,4,5,4.0,5,2,3.0,2.0,3
SYN-0734,18-29,East,5,1,3,3,5.0,5,3,2.0,3.0,3
SYN-0735,60+,North,3,2,4,3,3.0,4,3,3.0,5.0,2
SYN-0736,45-59,East,2,2,2,2,3.0,3,1,2.0,3.0,2
SYN-0737,30-44,East,4,2,3,2,4.0,5,3,4.0,3.0,2
SYN-0738,18-29,North,3,3,4,2,3.0,2,3,1.0,2.0,2
SYN-0739,18-29,North,1,1,1,2,2.0,2,3,3.0,3.0,1
SYN-0740,45-59,West,1,1,1,1,2.0,4,1,1.0,2.0,2
SYN-0741,30-44,Central,4,5,4,5,5.0,4,3,2.0,2.0,4
SYN-0742,60+,West,4,4,3,4,3.0,4,1,3.0,3.0,3
SYN-0743,45-59,South,4,2,2,2,1.0,3,1,1.0,1.0,2
SYN-0744,30-44,Central,3,1,1,1,2.0,1,1,2.0,2.0,1
SYN-0745,45-59,Central,3,2,4,4,4.0,3,3,2.0,3.0,4
SYN-0746,60+,East,2,3,4,3,3.0,2,2,2.0,3.0,2
SYN-0747,30-44,North,3,4,5,3,3.0,5,4,3.0,5.0,3
SYN-0748,45-59,South,1,4,3,4,4.0,4,2,2.0,3.0,2
SYN-0749,60+,Central,3,3,2,3,2.0,4,3,2.0,4.0,2
SYN-0750,18-29,North,4,3,2,2,4.0,3,2,2.0,2.0,3
